Job ID,title,expires_at,salary_min,salary_max,description,industry
101083,Mental Health Assessment Spec- Head Start (Community Services Department),2026-05-31T00:00:00.000000Z,58272.01,103371.49,"Job ID: 101083 - Master's degree in Social Work, Psychology, Counseling or related field. One year of clinical casework experience is required. Must possess a State of Florida license as a Clinical Social Worker, Mental Health Counselor, Clinical Psychologist, or Physician.",Social Services
96482,Certified Correctional Officer,2026-06-05T00:00:00.000000Z,47262.11,85991.85,"Job ID: 96482 - High School Diploma or General Education Diploma (GED). Must be a State of Florida Certified Correctional Officer or must possess a Certificate of Completion from a Correctional Officer Basic Recruit program issued by an accredited school of criminal justice in Florida, or must be currently enrolled in a Florida Correctional Officer Basic Recruit Program and pass the State Correctional Officer Certification Examination prior to being hired. Must possess and maintain a valid Driver's License. Must pass the Physical Abilities Test (PAT) administered by the Assessment Center at Miami-Dade College",Law Enforcement
96481,Non-Correctional Officer (Trainee),2026-06-05T00:00:00.000000Z,45222.49,82149.83,"Job ID: 96481 - Non-certified Correctional Officer (Trainees): $45,222.49 Annually. - Must be a least 18 years of age (19 years of age by the time of certification) - Must be a United States Citizen - Must possess and maintain a valid Driver's License - High School Diploma or General Education Diploma (GED) - Must have a passing score on the Florida Basic Abilities Test (FBAT) or on the Criminal Justice Basic Abilities Test (CJBAT) for Correctional Officers - Must be able to certify as a Correctional Officer under Florida Statute 0943.13.Must pass the Physical Abilities Test (PAT) administered by the Assessment Center at Miami-Dade College",Law Enforcement
101249,"Director, Department of Cultural Affairs",2026-06-05T00:00:00.000000Z,155186.16,439189.27,"Job ID: 101249 - Bachelor’s degree. Eight years of progressively responsible administrative and/or managerial experience, including supervisory experience and experience in a governmental arts agency and/or a nonprofit cultural organization is required.",Environmental
100292,"Pollution Control Inspector 1
 - Environmental Evaluation Local Programs (Department Environmental
 Resources)",2026-05-30T00:00:00.000000Z,53605.18,94875.64,"Job ID: 100292 - Bachelor's degree in Biology, Chemistry, Geology, Civil Engineering, Mechanical Engineering, Chemical Engineering, Environmental Engineering, or related natural science is required. Must possess a Driver license.",Environmental
100858,Homeless Trust Asset Management Coordinator,2026-05-19T00:00:00.000000Z,67819.07,119003.17,"Job ID: 100858 - Bachelor's degree. Two years of experience in the sale, acquisition, appraisal, and/or commercial leasing of real estate, and asset management are required. Additional experience in the sale, acquisition, appraisal and/or commercial leasing of real estate and asset management may substitute for the required education on a year-for-year basis. A State of Florida Real Estate Salesperson license, State of Florida Real Estate Broker license, Certified General Appraiser, or Community Association Manager's license is preferred.",Management
101113,Accountant 3 (Housing and Community Development),2026-05-19T00:00:00.000000Z,70552.84,123798.92,"Job ID: 101113 - Bachelor's degree in Accounting and two years of accounting experience; OR Bachelor's degree to include 9 semester credits in Accounting and two years of accounting experience; OR four years of additional accounting work experience and two years of college
 coursework are required.",Accounting
101198,Housing and Community Development Planning Coordinator 2,2026-05-29T00:00:00.000000Z,74794.53,130594.28,"Job ID: 101198 - Bachelor s degree. Four years of administrative experience in housing program planning and policy development to include experience developing and executing HUD planning frameworks; researching, interpreting, and implementing federal, state, and local housing policy. Additional administrative experience in housing program planning and policy development may substitute for the required education on a year-for-year basis.",Public Administration
101209,IT Senior Systems Administrator (Internal Compliance),2026-06-01T00:00:00.000000Z,96561.5,161053.46,"Job ID: 101209 - Bachelor's degree. Six years of experience in information technology systems administration including creating, analyzing, and managing information technology systems are required. Additional related work experience in information technology systems administration including creating, analyzing, and managing information technology systems may substitute for the required college education on a year-for-year basis.",Information Technology
101110,Internal Compliance Department Collection Specialist,2026-06-30T00:00:00.000000Z,46216.18,81382.83,"Job ID: 101110 - High school diploma or GED. One year of collection experience, customer service or sales experience is required. Completion of college coursework may substitute for the required work experience on a year for year basis.",Finance
100606,Social Worker 1 (Library),2026-05-20T00:00:00.000000Z,44318.35,77808.47,"Job ID: 100606 - Bachelor's degree in Social Work, Sociology, Psychology, Human Services or related field.",Social Services
100602,"Manager, Library Marketing & Development Services",2026-05-31T00:00:00.000000Z,81422.15,140115.77,"Job ID: 100602 - Bachelors degree. A minimum of two years of progressively responsible experience in public information, journalism, marketing,
 or public relations is required.",Marketing
100274,"Range Attendant (Parks, Recreation & Open Spaces)",2026-05-19T00:00:00.000000Z,38804.22,58141.18,"Job ID: 100274 - High school diploma or GED. One year of experience in the care and use of various types of firearms is required. Must possess a Driver license.&; Must be able to work days, nights, holidays, and weekends
 on a varied work schedule.",Sports and Recreation
100254,"Interpretive Programs Leader (Parks, Recreation and Open Spaces)",2026-05-22T00:00:00.000000Z,48448.77,85398.3,"Job ID: 100254 - High school diploma or GED. Two years of customer service or tourism related experience is required. Must possess excellent communication skills. Must be able to work days, nights, weekends and holidays on a varying schedule. Must possess a valid driver
 license.",Education
101022,"Special Project Administrator 1 (Parks, Recreation & Open Spaces Department)",2026-05-25T00:00:00.000000Z,67819.07,119003.17,Job ID: 101022 - Bachelor's degree. Three years of administrative experience are required. Additional administrative experience may substitute for the required college education on a year for year basis.,Administrative
100367,"Maintenance Repairer (Parks, Recreation & Open Spaces Department)",2026-05-25T00:00:00.000000Z,42413.05,63887.85,Job ID: 100367 - Eighth grade. One year of experience performing semi-skilled maintenance and repair tasks or assisting with maintenance and repairs in any of a variety of the skilled trades is required. Must possess a valid Driver's license. Must be able to lift 50 lbs.,Maintenance
101066,"Automotive Equipment Operator 1 (Parks, Recreation and Open Spaces Department)",2026-05-26T00:00:00.000000Z,42321.12,61852.11,"Job ID: 101066 - Eighth grade. Six months of experience operating light equipment such as tractors and trucks, dump trucks, water tank trucks, or similar equipment are required. Must possess a CDL/Class B. A driving performance test will be given at the time of interview.",Transportation
101067,"Sports Turf Supervisor 3 (Parks, Recreation and Open Spaces Department)",2026-05-26T00:00:00.000000Z,59725.81,91565.14,"Job ID: 101067 - Bachelor's degree. Two years of experience in sports field landscape maintenance and sports field management to include supervisory experience is required. Must possess a valid Florida Driver's License CDL/Class A or B. Must obtain the Public Restricted Use Pesticides (RUP) License, Category 3 (Ornamental and Turf Pest Control) within six months of employment. Additional experience may substitute for education on a year-to-year basis.
 Certification from the Sports Turf Managers Association (STMA) or Sports Turf Manager Certification is preferred.",Sports and Recreation
99426,"Plumber (Parks, Recreation and Open Spaces)",2026-05-26T00:00:00.000000Z,64548.37,99103.76,"Job ID: 99426 - Eighth grade. Must possess a Miami-Dade County Certificate of Competency as a Journeyman Plumber. Must possess a Driver
 license and own hand tools.",Repair and Maintenance
100339,"Park Service Aide (Parks, Recreation & Open Spaces) (Part-Time)",2026-05-28T00:00:00.000000Z,35456.8,35456.8,"Job ID: 100339 - High school diploma or GED. Three months of experience in customer contact, recreation, or general labor are required. Must possess a Driver license. Must be able to work days, nights, holidays,
 and weekends on a varied work schedule.",Sports and Recreation
100351,"Range Safety Officer (Parks, Recreation & Open Spaces)",2026-05-28T00:00:00.000000Z,42972.44,73099.54,"Job ID: 100351 - High school diploma or GED. One year of experience in the operation of firearms in a shooting range is required. Must possess a Range Safety Officer Certification or obtain one during the probationary period. Must possess a Drivers license. Must be able to work nights, weekends and holidays on a varying work schedule.",Security
100263,"Landscape Supervisor 2 (Parks, Recreation & Open Spaces)",2026-05-29T00:00:00.000000Z,41467.33,63104.54,Job ID: 100263 - High school diploma or GED. Two years of experience in landscape and grounds maintenance or tree trimming to include one year of supervisory experience are required. Must possess a Driver license. Some positions may require a CDL/Class B.,Environmental
100343,"Guest Services Representative (Parks, Recreation and Open
 Spaces)",2026-06-02T00:00:00.000000Z,35456.81,58823.73,"Job ID: 100343 - High school diploma or GED. One year of cash handling or customer/guest service experience is required. Must be able to work days, nights, holidays, and weekends on a varied work
 schedule.",Customer Service
